trial,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,val_r2,val_mae,val_rmse,best_iteration
13,3,0.03,0.7,0.9,1.0,0.1,0.9874939011571929,40.04803179312892,113.89840174751967,1082
4,3,0.03,0.7,1.0,2.0,0.0,0.9868578769974103,40.22522754294182,116.75875766812196,1621
12,5,0.03,0.7,1.0,0.5,0.1,0.9865243775033388,40.81845491068155,118.23093379726366,455
1,5,0.03,0.7,1.0,1.0,0.0,0.9848496056986508,41.48901004404635,125.3627959253976,389
6,4,0.03,0.9,1.0,1.0,0.0,0.9851189456848762,42.387188443863714,124.24346432880573,521
9,4,0.05,1.0,0.9,0.5,0.3,0.9849434915602342,42.40349634626799,124.97376034247053,192
11,4,0.07,1.0,0.9,2.0,0.0,0.9859753243932351,42.581957918225854,120.61549789927761,300
10,4,0.07,0.7,0.9,0.5,0.3,0.9851099627643377,44.23302544489224,124.28095833851808,207
14,5,0.05,0.7,0.9,1.0,0.0,0.9845622557476362,44.82612676645886,126.54605841650968,444
15,5,0.05,1.0,1.0,2.0,0.0,0.9815829954629363,46.641459596070334,138.21850750633476,321
7,3,0.07,0.9,0.9,1.0,0.0,0.9852851441257557,46.883578490318726,123.54771225319658,160
5,5,0.03,1.0,1.0,2.0,0.3,0.9803953049894114,47.18231843761991,142.60565468531365,313
3,5,0.03,1.0,0.9,0.5,0.0,0.9789008895909782,47.48116436966244,147.94107629653996,292
2,3,0.03,1.0,0.7,2.0,0.3,0.9852577250174747,52.81328052523974,123.66276575867886,1045
8,3,0.05,0.7,0.7,1.0,0.0,0.9843905211885406,53.268565904139976,127.24798175588307,575
